"id";"title";"description";"cached_votes_up";"created_at";"retired_at"
"35589";"Transporte  Entrevías";"<p>Sería necesario mejorar la cantidad de autobuses en el barrio de Entrevías. No tenemos metro, sólo cercanías , que no funciona bien y está abarrotado.En estos últimos años , la población del barrio ha aumentado de forma considerable y no han puesto más transportes , ni ha aumentado la frecuencia de buses.Los domingos y festivos los buses comienzan su servicio sobre las 7, y somos muchos los que trabajamos estos días, propongo que comiencen antes. </p>";"19";"03/01/2024";""
"35591";"Ubicaciones cubo gym";"Soy usuario de cubo gym de retiro, ubicado dentro de El Retiro, muchos días debido a las inclemencias meteorológicas no se puede acceder por lo que propongo:Instalar el cubo en una de las entradas anchas desde Menéndez Pelayo, de tal forma que se pudiese vallar, evitando tener árboles de gran tamaño al lado y poder abrir esa puerta, poniendo una valla para solo poder acceder al cubo, cuando el parque esté cerrado.Otra ubicación que propongo y por mi parte creo que es la más ingeresante dado la protección que tendría, sería debajo del puente de obra nueva junto al edificio de oficinas de la EMT (doctor Esquerdo con ciudad de Barcelona) antes estaba instalado un rocodromo y ahora hay una zona de entreno, una pista de baloncesto, etc,Esta ubicación estaría protegida de la lluvia, enfrente de la policía municipal (por protección) y se podría proteger con alarmas y cámaras.Un saludo ";"2";"03/01/2024";""
"35593";"Zona SER en barrio de entrevías";"<p>Hace tiempo que el barrio de Entrevías viene sufriendo la falta de aparcamientos por encontrarse en el limite de Zona contolada como Mendez Alvaro, en la cual ha subido considerablemente el numero de oficinas y zonas comerciales y de ocio y esto lleva a que se aparque en la calle Timoteo Perez Rubio trasladando el problema al interior de barrio. Además la proxima puesta en marcha del SER en la zona de San Diego incrementará el problema.</p>";"11";"03/01/2024";""
"35594";"Soterramiento vías del tren que discurren por calle Dulce Chacon.";"<p>La propuesta es recuperar el proyecto original y soterrar las vias que pasan por la Calle Dulce Chacon y van en direccion Sanchinarro (Valdebebas, etc) y por supuesto las que van hacia la estacion de Chamartin.</p><p>En la parte de arriba se puede hacer una zona verde y eliminar este corte entre barrios.</p>";"12";"03/01/2024";""
"35595";"C/Alcalá. Una c/ de referencia que cambie su modo de entenderla.";"<p>Mi propuesta, en un tramo de la calle Alcalá (inicio desde avda. Daroca hasta intersección con Arturo Soria), hacer la calle de un solo sentido, ejemplo bajada desde la Cruz, ancho de 3,5 m, resto de la anchura de la calzada hasta aprox. 22 metros, hacer aceras con anchos variables de 3 y 14 metros, asimétricas respecto al eje de circulación que condicionaría la no linealidad del eje de circulación. Las intersecciones de las numerosas calles que cruzan la calle Alcalá (dejo reflejado un croquis), algunas de ellas pueden plantearse como corte de carril, cambiar su sentido. En otras intersecciones, que sea de coexistencia. El otro tramo actual de subida de la calle Alcalá, desviarse su circulación hacia avda. Daroca, c/Arcentales, c/Garcia Noblejas, c/Jose del Hierro.</p><p>Al hacer todo esto, ya la calle Alcalá no sería visto como sitio de paso, si no como sitio de ocio, de espacio común, estancial. Habría muchos m2 para la realización de plazas, con fuentes, en la centralidad de la calle. </p><p>Desde luego, esta obra sería de mucha complejidad, pero una calle Alcalá de estancia, disfrute, de estar, al estilo de una plaza, podría ser obra de referencia.</p>";"1";"03/01/2024";""
"35596";"Iluminación pistas deportivas descubiertas";"";"5";"03/01/2024";""
"35597";"Soterrar A42 desde Madrid Rio hasta Plaza Elíptica ";"<p>Debido a la cantidad de tráfico de esta carretera, los vecinos debemos soportar ruido y contaminación en cualquier época del año. Por ello mi propuesta, es iniciar al menos la fase de estudio para soterrar este tramo de autovía que parte la ciudad en 2, eliminando una barrera arquitectónica entre barrios. Con el nuevo espacio se podría crear una gran avenida peatonal y verde, que mejore la calidad del aire de toda esa zona tan congestionada.</p>";"35";"03/01/2024";""
"35598";"Protección mujeres en las paradas del bus urbano";"<p>Para proteger a las mujeres que regresan tarde a sus casas por trabajo o por ocio, colocar un botón del pánico en todas las paradas de bus que conecte con la policia, una llamada directa al 091 o 112 para ayudarles en caso de acoso o de actos indeseados.</p>";"5";"03/01/2024";""
"35599";"Iluminación y aceras";"<p>Calle Canillas altura colegio Luis Bello las aceras llenas de baldosines rotos y caquitas de perro por todos los lados si a eso le sumamos falta de iluminación por las noches  (Faltan muuuuchas farolas) el resultado es bastante penoso.</p>";"3";"03/01/2024";""
"35600";"Ampliar aceras Montejurra";"<p>Las aceras de la calle Montejurra,entre Avda Marqués de Corbera y San Maximiliano son muy estrechas.</p><p>Además hay un poste de hormigón que sujeta los cables de electricidad que estorba mucho.</p><p>Pasar por ahí con silla de ruedas o un carro e niño es molesto.</p>";"2";"03/01/2024";""
"35601";"Aceras y derechos de las personas a circular libremente por ellas";"<p>Las aceras de las calles de la ciudad, debido a la proliferación de comercios y negocios de toda índole, están llenas de todo tipo de mobiliario público y privado adosado a las paredes de los edificios y que ocupan una parte importante de las mismas, obstaculizando o impidiendo la movilidad de los ciudadanos. Esta situación se complica en aceras  estrechas donde en ocasiones es necesario detenerse para dejar paso a las personas que circulan en dirección contraria.</p><p>El motivo del incumplimiento de una parte muy importante de los propietarios y trabajadores de los comercios y de los propietarios de todo tipo de edificios de nuestro distrito, se debe en nuestra opinión  a dos motivos fácilmente comprensibles: Los continuos cambios de las normativas municipales (totalmente justificables para adaptarlos a la realidad de la ciudad) y la falta de control policial para hacer cumplir todas las normativas (igualmente justificable por la imposibilidad de realizar inspecciones continuas a todos los negocios del distrito)</p><p>Sería necesario modificar las normativas actuales, para qeu la Policía Municipal pudiera multar a los infractores y que el Ayuntamiento dispusiera vehículos municipales para retirar todos los objetos situados en las aceras, como se hace con los vehículos que entorpecen el tráfico, que aparcan en lugares prohibidos, etc.</p><p> </p>";"10";"03/01/2024";""
"35602";"Remodelación descampado plaza elíptica";"<p>Remodelar el descampado que hay actualmente entre plaza eliptica  y la avenida de oporto. Es descampado esta al lado de una plaza, que exceptuando la zona infantil también necesita una remodelación y con ello, se podrían juntar estos 2 espacios creando una nueva zona verde en esta zona.</p><p>El descampado esta justo en una zona de mucho paso, porque desde avenida oporto es el unico sitio por donde se puede cruzar para llegar al intercambiador. Por ello, podría ponerse una zona arbolada, para evitar el calor en esa zona de cruce sin ninguna sombra para los peatones.</p>";"20";"03/01/2024";""
"35603";"No al cierre de la estación de cercanías de Fuencarral";"";"22";"03/01/2024";""
"35604";"Estado de las estructuras de madera en edificios histórico artísticos";"<p>Como investigadora del estado (CSIC) veo el deficit existente en la conservación de nuestro patrimonio...sobre todo por la ignorancia que hay en la sociedad sobre los organismos xilófagos. Por otro lado, todo el conjunto de edificaciones anteriores a 1920, presenta en su estructura madera como material de construcción, y dedde mi pùnto de vista no se invierte demasiado en la conservación.</p>";"2";"03/01/2024";""
"35605";"Mejora de la Iluminación en el Parque de la Quinta de los Molinos";"<p>El Parque de la Quinta de los Molinos es un espacio emblemático que brinda a los ciudadanos un entorno natural para el esparcimiento y la actividad física. Sin embargo, hemos observado que la falta de iluminación adecuada en ciertas áreas se convierte en una preocupación significativa, sobre todo durante los meses de invierno cuando la oscuridad se instala temprano en la tarde.</p><p> </p><p>Para abordar este problema, proponemos la instalación estratégica de nuevas farolas en las zonas críticas del parque. Estas farolas no solo mejorarán la visibilidad y la seguridad de quienes frecuentan el parque, sino que también facilitarán la realización de actividades recreativas después del anochecer.</p><p> </p><p>Esta iniciativa no solo contribuirá al bienestar de los usuarios del parque, sino que también promoverá un entorno más inclusivo y activo para la comunidad. Además, una iluminación mejorada puede disuadir comportamientos indeseados y mejorar la percepción de seguridad, alentando a más personas a disfrutar de este espacio público.</p><p> </p><p>En resumen, solicitamos el apoyo de la comunidad para instar a las autoridades competentes a considerar y llevar a cabo la instalación de nuevas farolas en el Parque de la Quinta de los Molinos. Esto no solo mejorará la calidad de vida de quienes lo utilizan, sino que también fortalecerá el sentido de comunidad y seguridad en este espacio verde tan valioso para nuestra ciudad.</p>";"6";"03/01/2024";""
"35606";"Bolardos asesinos";"Sustituir los bolardos por un sistema que no destroce los coches y que no dañe las piernas de los viandantes, o recubrirlos con un material que aisle el marerial actual.";"1";"03/01/2024";""
"35607";"Via Verde ";"<p>La ciudad de Madrid cuenta con inumerables columnas (puentes, pasos a nivel, etc) y muros (pantallas acusticas en carreteras) que estan vandalizadas (grafittis) o mal aprovechados, afeando la imagen de la ciudad.</p><p>Es por ello que esta propuesta pide la creación de Vias Verdes, es decir el recubrimiento de esos espacios como columnas o muros con<strong> jardines verticales</strong>. Mejorando el <strong>aspecto vicual</strong> (tapando los graffitis e impidiendo futuros) y <strong>reduciendo la contaminación</strong> (absorción del CO2 por parte de las plantas).</p><p>En la Ciudad de México se llevo acabo este proceso para <strong>reducir la contaminación</strong> de la ciudad y a la vez <strong>mejorar el aspecto visual</strong> de la misma, reduciendo el impacto visual de pintadas o graffittis o simplemente un muro gris.</p><p>Aprovechando el proyecto de Bosque Metropolitano que tiene el Ayuntamiento en curso, propongo esta propuesta como algo más para mejorar la calidad de vida de nuestra ciudad.</p>";"2";"03/01/2024";""
"35608";"Accion Peatonal. Barrio de Las Carolinas. Distrito Usera";"";"37";"03/01/2024";""
"35609";"Avenida de la Peseta ";"<p>La zona de la avenida de la peseta tiene mala comunicación con zonas cercanas como cuatro vientos, las águilas, fanjul... Estado al lado no tenemos un medio de transporte que nos acerque a esa zona si no es cogiendo 3 autobuses, cuando estamos muy cerca, propogo la creación de una nieva linea de bus, que recorra avd de la peseta, avd de la aviacion y cuatro vientos</p>";"17";"03/01/2024";""
"35610";"Prohibición de los patinetes";"<p>El mal uso de los patinetes son un peligro para los peatones, por lo que es necesaria la prohibición de su uso en la ciudad. Circulan por las aceras a toda velocidad sin tener en cuenta la integridad física de los transeúntes y además los dejan abandonados en cualquier sitio (en mitad de las aceras). Son un auténtico peligro para los peatones, especialmente para personas mayores o con problemas de movilidad. </p>";"3";"03/01/2024";""
"35611";"Mejora parque Enrique Tierno Galván";"<p>Es necesario recuperar la parte del parque Enrique Tierno Galván colindante con la calle Nebulosas y la zona del rocódromo-pasarela. Están totalmente descuidadas y son fecuentadas por personas sin hogar, lo que da a la zona sensación de total abandono y peligrosidad, sobre todo de noche.</p>";"20";"03/01/2024";""
"35612";"Bulevar en Calle Almagro";"<p>La calle Almagro dispone de seis carriles que están vacios mayoritariamente, y que podríamos ganar los vecinos como paseo, parque infantil (inexistentes en la zona) incluso para poner alguna terraza de cafeteria. Podrían quedar cuatro carriles para coches que dan de sobra para el trafico que hay.</p><p>Mejoraría tambien la calidad del aire y se quedaría como una de las calles mas bonitas de Madrid.</p>";"1";"03/01/2024";""
"35613";"Creación de carriles bici separados de los carriles para vehículos";"";"9";"03/01/2024";""
"35614";"Dotaciones para la zona de Méndez Álvaro";"<p>En los últimos años se ha formado un nuevo barrio en la zona de Méndez Álvaro (entre el parque Enrique Tierno Galván y la estación Sur de autobuses) que es necesario de dotar urgentemente de equipamientos, al carecer de todo: no tenemos centro de salud, ni instalaciones deportivas ni ningún tipo de infraestructura cultural.</p>";"25";"03/01/2024";""
"35615";"Minicasas";"<p>Minicasas en terreno de tierra desnivelado en la calle Provencio.</p>";"0";"03/01/2024";""
"35616";"Quitar zona aparcamiento vehículos centro histórico Madrid";"";"6";"03/01/2024";""
"35617";"Techado Instalación deportiva municipal Valdeyeros. ";"<p>Nos dirigimos respetuosamente a la junta del Distrito Fuencarral-El Pardo así como al Ayuntamiento de Madrid con la firme convicción de que es necesario abordar de manera urgente la situación de la instalación deportiva pública Valdeyeros, ubicada en la calle Ramón Gómez de la Serna. A través de esta propuesta ciudadana, deseamos resaltar la importancia de techado para esta instalación y su impacto positivo en la comunidad local, especialmente en el Club de Baloncesto Fuentelarreyna, el cual, desde su fundación, carece de un emplazamiento cubierto donde desarrollar su actividad.</p><p>Desde hace más de treinta años, deportistas, tanto del Club de Baloncesto, como del propio colegio Fuentelarreyna han estado utilizando el complejo municipal de Valdeyeros para entrenar, competir y mantener un estilo de vida saludable. Sin embargo, la ausencia de un techo ha limitado significativamente el potencial y la eficacia de esta instalación. El clima impredecible de Madrid, con sus lluvias inesperadas y altas temperaturas en verano, ha planteado constantes desafíos para los más de 250 jugadores de todas las categorías que se reúnen aquí para practicar y jugar baloncesto.</p><p>Respecto a los argumentos que consideramos relevantes para la puesta en marcha de esta iniciativa, consideramos:</p><ul><li>La protección ante las Inclemencias Climáticas: La ausencia de techado limita en gran medida la posibilidad de entrenar y competir durante todo el año. El techado proporcionaría protección contra la lluvia, el sol extremo y otras condiciones climáticas adversas, lo que permitiría un uso constante y sostenido de la instalación.</li><li>Una protección que no solo servirá al propio Club o al Colegio Fuentelarreyna, sino que será en favor de la totalidad del barrio. Contar con una instalación pública a la que acceder en caso de condiciones climáticas inestables instará y motivará al vecindario a poder aumentar la practica de deporte, con los beneficios que este tiene.</li><li>La promoción de la Salud y el Bienestar: El deporte está estrechamente relacionado con la salud de acuerdo con múltiples estudios y análisis científicos. Así pues, la instalación deportiva es un recurso valioso para fomentar un estilo de vida activo y saludable en nuestra comunidad. Al proveer un espacio protegido, más personas podrán participar en actividades físicas, lo que resultará en beneficios tanto físicos como mentales para los ciudadanos.</li><li>El desarrollo de Talento Deportivo y el mantenimiento de un estado físico saludable: Al contar con un entorno adecuado para la práctica y el entrenamiento, se brindará a los jóvenes atletas la oportunidad de mejorar sus habilidades y talentos. El club Fuentelarreyna se vería enormemente beneficiado, pues no solo sería un motivo de atracción de jóvenes jugadores, como también para la retención por la comodidad y tranquilidad que otorga un espacio cubierto en el que practicar la actividad. Esto no solo contribuirá al crecimiento deportivo individual, sino también al fortalecimiento del tejido deportivo del distrito. Especialmente, queremos hacer hincapié en la importancia que el baloncesto y el deporte tiene como instrumento de inclusión. Desde el Club Fuentelarreyna estamos muy orgullosos de la importancia que tienen las categorías femeninas en nuestro conglomerado, siendo clave en los últimos éxitos deportivos.</li><li>La generación de Espacios Multifuncionales: El techado de la instalación no solo beneficiará a los deportistas, sino que también permitirá la realización de otros eventos escolares, comunitarios e incluso actividades culturales en un entorno protegido y versátil. Especialmente en un contexto de gran saturación de tanto los polideportivos municipales como privados en el Distrito, un hecho que dificulta enormemente el progreso de determinados colectivos. En nuestro caso, son las categorías Senior (&gt;18 años) las más afectadas por la casi obligatoriedad de tener que jugar sus partidos en espacios cubiertos. Supondría, ya no solo para la actividad de baloncesto como otras (véase el caso del Club de Voleibol o el mismo Club de Fútbol), deportes, que se realizan en instalaciones anejas posibilitando un mejor y rápido desarrollo.</li></ul><p>Solicitamos respetuosamente que tanto la Junta del Distrito como el Ayuntamiento de Madrid considere seriamente la propuesta de techado del complejo deportivo Valdeyeros. La inversión en esta mejora será un paso significativo hacia el enriquecimiento de nuestra comunidad y la promoción del deporte y el bienestar. Desde el conglomerado deportivo de Fuentelarreyna nos comprometemos a colaborar activamente con las autoridades locales para garantizar la implementación exitosa de este proyecto, aportando ideas, recursos y esfuerzos en la medida de nuestras posibilidades.</p><p>Confiamos en que se considerará esta propuesta con la seriedad que merece y tomará medidas concretas para hacer realidad este proyecto, en beneficio de las generaciones actuales y futuras de nuestra comunidad</p>";"1";"03/01/2024";""
"35618";"Aparcamiento  en Zona Hospital Ramón y Cajal";"<p>Transformar el enorme solar que existe en los terrenos de la antigua fabrica CLESA en un aparcamiento con entrada directa al Hospital Ramón y Cajal. Se podría hacer parking publico y de pago. Se podría hacer una entrada directa desde la M30 haciendo la rotación por donde ahora rotan los Taxis para engtrar a Ramón y Cajal. y tambien desde Herrera Oria. Dentro de esa zona se podría hasta hacer un pasadizo peatonal elevado desde el parking hasta la entrada principal del Hospital, dejando la estación de Renfe justamente debajo.  Un proyecto mas ambicioso podría incluso soterrar la zona de vias y estación de Ramon y Cajal.  Es una oportunidad unica para resolver el acceso al Hospital tan colapsado en horas punta, asi como la escasez de aparcamiento en la zona industrial cercana y sobre todo en el interior del Barrio de Begoña, barrio especialmente complicado por ser calles de una solo sentido, que se llenan continuamente durante el dia de gente buscando aparcamiento para desde ahí acceder andando al Hospital</p>";"3";"03/01/2024";"2024-01-03 20:05:12 +0100"
"35619";"NUeva Biblioteca ";"<p>Nací en este barrio y nunca ha habido una biblioteca pública cercana, y nuestros vecinos, sobre todo los más jóvenes, tienen que salir del barrio e incluso acudir a otros distritos para poder utilizar las zonas de estudio y préstamo de libros. Hasta hace unos años, acudían a la Biblioteca Pública Manuel Alvar, del distrito de Barrio de Salamanca, que se cerró hace ya unos años y parece que no se va a reabrir. Tampoco hay salas de estudio o lectura en el recien inaugurado Centro de Mayores en la Calle Padre Coloma ,2. Muchos jóvenes también acuden a las salas de lectura del centro cultural de Carril del Conde , distrito de Hortaleza, porque es el único cercano que abre los sábados.</p><p>El barrio cuenta con un solar actualmente utilizado como huerto urbano y zona de suelta de perros (Se adjunta foto cortesía de GOOGLE MAPS), que creemos que es de titularidad municipal y podría utilizarse para construir una futura biblioteca que daría servicio a los vecinos de San Pascual, Barrio de la Concepción, Barrio Blanco, Barrio de la Alegría, y numerosas zonas.</p><p>Nuestro barrio acoge el tanatorio M30, la Mezquita y su centro cultural islámico, varios centros de salud, un centro de salud mental, un centro de mujeres, un centro de mayores y servicios sociales, pero nada que puedan utilizar los jóvenes a modo de centro cultural o salas de estudio. Por ello, y ante la falta de medios e infraestructuras similares, creemos necesaria la dotación de una biblioteca municipal, que sería muy bien recibida por los vecinos de todas las edades.</p><p>Muchas gracias.</p>";"47";"03/01/2024";""
"35620";"Calle del Conde Duque";"";"3";"03/01/2024";""
"35621";"Zonas deportivas en Arroyofresno ";"";"3";"03/01/2024";""
"35622";"mirador en plaza castilla";"";"2";"03/01/2024";""
"35623";"Adecentar entreada desde la A6.";"<p>Con indepencencia de su signiifcación, la entrada desde lka A6 tiene cierta majestuosidad y belleza. Su mantenimiento es deplorable en una zona que en el resto de monumentos (Faro de la Moncloa etc...) esta bien conservada y mantenida.</p><p>Por ella pasan a diario muchos miles de automovilistas y pueden ver los monumentos deteriorados, pintados y sucios.</p><p>Madrid no se merece esto. Si los tenemos conservenmoslos debidamente !</p><p> </p>";"4";"03/01/2024";""
"35624";"Barrio Oroquieta";"";"3";"03/01/2024";""
"35625";"Bicimad gratuito para mayores de 65 años ";"";"6";"03/01/2024";""
